,SeqNumber,TimeStamp,ProductID,BidVolume1,AskVolume1,Bid1,Ask1
0,100806,1689641999.269920136,3035,26,124,3295000,3300000
0,100933,1689642000.072853967,2340,7,309,578000,579000
0,102424,1689642002.597405154,2340,46,37,577000,578000
0,104267,1689642004.955338276,2340,64,2,575000,577000
0,100748,1689641998.673937057,2352,3,18,628000,629000
0,105443,1689642006.075868388,2352,8,27,621000,622000
0,106029,1689642006.627285087,2352,8,17,621000,622000
0,100942,1689642000.144430807,2344,34,6,290000,290500
0,100942,1689642000.144430807,2344,34,6,290000,290500
0,106851,1689642007.264178853,2352,8,1,621000,623000
0,107089,1689642007.475624999,6285,177,1,1200000,1205000
0,107361,1689642007.676365624,2352,8,31,621000,625000
0,108648,1689642008.652814331,2340,58,82,575000,578000
0,109952,1689642009.680389195,2352,2,15,624000,625000
0,111303,1689642010.487399612,2340,4,68,575000,578000
0,117134,1689642013.989131957,3035,64,11,3280000,3290000
0,119162,1689642015.039272717,3035,39,54,3280000,3295000
0,100923,1689642000.072744155,6213,4,2,774000,775000
0,134824,1689642023.372284822,2368,7,22,1775000,1785000
0,137546,1689642024.981124830,2340,11,178,578000,579000
0,140643,1689642026.903467903,2609,6,24,455500,457000
0,145342,1689642029.630099395,2340,16,158,577000,579000
0,146606,1689642030.295219620,2609,7,102,455500,457500
0,146803,1689642030.385187574,2340,10,158,577000,579000
0,147354,1689642030.607401928,2609,7,105,455500,457500
0,148017,1689642030.945786692,2618,382,42,372000,372500
0,148802,1689642031.347817922,2609,87,7,455000,457000
0,148654,1689642031.266936362,2340,12,154,577000,579000
0,151859,1689642032.796946432,6669,13,1,18900000,18950000
0,152438,1689642033.089291311,2340,17,149,577000,579000
0,153713,1689642033.774019102,2376,46,45,3010000,3020000
0,158919,1689642036.253181421,2340,54,15,576000,578000
0,164269,1689642039.561084951,2609,30,24,454000,456000
0,165015,1689642039.958872233,2609,3,11,454500,456500
0,166732,1689642040.938978766,2340,50,1,576000,577000
0,177362,1689642047.729918453,2340,12,250,578000,580000
