,SeqNumber,TimeStamp,Pid,BidQty1,AskQty1,Bid1,Ask1
0,634843,1689642059.695233684,CCFG3,2,2,48.45,48.50
0,635180,1689642059.917261797,CCFG3,2,3,48.45,48.55
0,643592,1689642062.472770561,CCFG3,3,3,48.45,48.50
0,643853,1689642062.506760884,CCFG3,3,3,48.45,48.55
0,788151,1689642136.833122222,CCFG3,34,4,48.50,48.55
0,634656,1689642059.517927494,FYFG3,1,1,57.50,57.60
0,645083,1689642063.022515113,FYFG3,2,4,57.50,57.80
0,566376,1689642031.981455825,FYFG3,3,16,57.30,57.50
0,630408,1689642057.538807467,FYFG3,3,1,57.40,57.60
0,610967,1689642050.051352832,FYFG3,2,3,57.40,57.60
0,611138,1689642050.124913203,FYFG3,3,3,57.30,57.60
0,556214,1689642029.630571172,FYFG3,3,1,57.30,57.40
0,559335,1689642030.448626438,FYFG3,2,1,57.10,57.40
0,563793,1689642031.436741144,FYFG3,1,1,57.30,57.40
0,682309,1689642080.406806429,FYFG3,1,1,57.30,57.60
0,686140,1689642082.325018961,FYFG3,2,2,57.50,57.70
0,687506,1689642083.074332364,FYFG3,1,1,57.30,57.60
0,688735,1689642083.982001715,FYFG3,2,1,57.50,57.70
0,506978,1689642008.708428035,FYFG3,1,1,56.90,57.20
0,512222,1689642010.473477272,FYFG3,2,3,57.00,57.40
0,578107,1689642035.952539306,FYFG3,2,1,57.10,57.40
0,699833,1689642089.862579326,FYFG3,1,2,57.50,57.70
0,606625,1689642047.585153510,FYFG3,1,3,57.50,57.60
0,675642,1689642076.620655696,FYFG3,4,13,57.70,57.90
0,677882,1689642077.927397758,FYFG3,4,12,57.70,57.90
0,587875,1689642040.098826590,FYFG3,3,3,57.30,57.60
0,620736,1689642054.198078861,FYFG3,3,1,57.40,57.60
0,625834,1689642056.027868252,FYFG3,3,1,57.40,57.60
0,544136,1689642025.034017426,FYFG3,1,2,57.40,57.50
0,618684,1689642053.324243531,FYFG3,3,3,57.40,57.60
0,619939,1689642053.816133946,FYFG3,3,3,57.40,57.60
0,5207953,1689644735.130066205,FYFG3,1,1,54.40,54.60
0,490223,1689642000.804906077,FYFG3,4,1,56.60,57.10
0,494093,1689642002.575313481,FYFG3,4,1,56.60,57.40
0,499693,1689642005.092470013,FYFG3,2,2,56.80,57.40
0,5196883,1689644732.395894767,FYFG3,1,1,54.40,54.60
0,648562,1689642064.524866764,RKFG3,6,5,178.50,179.00
0,814332,1689642148.399439714,RKFG3,1,3,178.50,179.00
0,701653,1689642090.795986098,RKFG3,6,3,178.50,179.00
0,1774388,1689642747.228412425,RKFG3,25,2,181.00,181.50
0,674786,1689642076.223315824,RKFG3,6,4,178.50,179.00
0,539197,1689642022.793328893,RKFG3,1,3,178.50,179.00
0,1720325,1689642720.255518668,RKFG3,2,2,181.00,181.50
0,3943499,1689644299.093023250,RKFG3,1,1,177.00,177.50
0,2415817,1689643187.771971290,RKFG3,4,2,181.50,182.00
0,5916701,1689645059.515548444,RKFG3,3,2,172.00,172.50
0,3256418,1689643867.348519792,RKFG3,5,2,177.50,178.00
0,3919188,1689644289.086367415,RKFG3,1,1,177.00,178.00
0,1971322,1689642878.070508374,RKFG3,2,3,181.50,182.00
0,8240777,1689646635.343539394,RKFG3,2,4,175.50,176.00
0,10202143,1689649011.319391679,RKFG3,2,6,178.50,179.00
0,7288104,1689645891.123621350,RKFG3,3,2,174.50,175.00
0,9511991,1689648093.774252948,RKFG3,19,13,178.00,178.50
0,7159235,1689645817.243097193,RKFG3,2,2,175.00,175.50
0,7287836,1689645890.906678184,RKFG3,3,2,174.50,175.00
0,6306762,1689645257.140423029,RKFG3,1,10,175.50,176.50
0,7138867,1689645800.234664165,RKFG3,4,2,175.00,175.50
0,10471173,1689649332.848424119,RKFG3,1,12,179.50,180.00
0,13909429,1689654928.921649518,RKFG3,2,7,178.50,179.50
